MMSI,January,February,March,April,May,June,July,August,September,October,November,December,Total
224523000,0,0,4,10,0,0,0,0,0,0,15,19,48
224651000,15,11,17,16,11,10,0,14,11,0,0,27,132
303137000,15,3,0,0,0,0,2,0,0,3,12,0,35
338622000,0,0,0,0,0,0,0,0,0,0,13,0,13
338712000,0,0,0,0,0,0,0,0,0,0,9,8,17
350107000,7,10,0,1,13,0,0,26,14,17,14,4,106
366020000,0,0,0,0,0,0,0,0,0,3,4,0,7
366827000,0,0,2,0,0,6,8,31,9,15,10,0,81
367179000,0,0,0,0,0,0,0,0,0,2,0,0,2
367359220,0,0,4,3,0,0,6,3,0,0,0,0,16
368489000,0,0,0,0,0,0,0,0,0,0,14,18,32
416017500,0,0,0,0,0,0,10,10,2,3,0,0,25
440233000,0,4,0,0,0,0,0,0,0,0,0,0,4
440410000,0,0,0,0,0,0,12,13,0,0,2,0,27
440444000,0,7,0,0,0,0,0,0,0,3,0,0,10
440450000,0,0,0,0,0,0,0,6,0,0,0,2,8
440462000,0,0,0,0,0,0,0,0,0,3,0,2,5
440492000,0,0,0,0,0,1,0,0,0,0,0,3,4
440542000,0,0,0,0,0,1,0,0,7,8,1,20,37
440552000,0,0,0,0,0,0,0,8,0,0,0,0,8
440968000,0,0,0,0,0,0,0,0,0,0,0,3,3
441066000,0,0,9,0,0,0,1,0,7,8,16,5,46
441446000,0,0,0,0,0,1,5,0,0,0,0,0,6
441493000,0,0,0,0,0,0,5,0,0,0,0,0,5
441853000,0,0,0,0,0,2,0,0,0,0,3,3,8
444080710,0,0,4,2,0,0,0,0,0,0,0,0,6
512000061,0,0,0,0,6,0,0,19,24,0,28,2,79
512000089,0,0,0,0,0,0,9,7,30,11,7,0,64
512085000,0,0,0,0,4,0,2,12,0,0,0,0,18
529417000,0,0,0,0,0,0,0,0,0,0,0,6,6
529676000,0,0,0,0,0,0,0,0,0,0,2,9,11
538060017,0,0,0,0,0,0,0,0,0,0,4,0,4
538060019,0,0,0,0,0,0,0,4,0,0,0,0,4
735057565,4,5,0,0,0,0,0,1,0,0,9,9,28
735058003,0,0,0,0,0,0,0,0,13,17,22,17,69
